Date,Open,High,Low,Close,Volume
2017-9-21,6240,6334,6179,6288,37617413
2017-9-18,6337,6348,6215,6250,42442096
2017-9-17,6366,6436,6282,6319,47352368
2017-9-16,6245,6359,6207,6334,36513991
2017-9-15,6262,6342,6232,6287,32216707
2017-9-14,6323,6359,6205,6308,35995537
2017-9-11,6395,6417,6256,6330,45283577
2017-9-10,6384,6430,6351,6383,42699670
2017-9-9,6339,6414,6262,6351,47795088
2017-9-8,6162,6351,6157,6348,55681663
2017-9-4,6041,6145,6015,6135,38293993
2017-9-3,6094,6148,6040,6052,54200116
2017-9-2,5856,6050,5825,6049,58991505
2017-9-1,5950,6019,5818,5856,53931469
2017-8-31,5789,5956,5757,5921,43033925
2017-8-28,5831,5845,5731,5802,47933075
2017-8-27,5926,5938,5752,5792,56813940
2017-8-26,5953,6045,5895,5923,47428583
2017-8-25,5966,6089,5951,5983,48525476
2017-8-24,5798,5990,5798,5983,48575487
2017-8-21,5685,5765,5638,5724,52583858
2017-8-20,5723,5882,5650,5676,61251053
2017-8-19,5877,5930,5626,5739,78587247
2017-8-18,6098,6115,5849,5853,55900809
2017-8-17,5967,6135,5918,6122,46057411
2017-8-14,6130,6189,6018,6046,54189197
2017-8-13,6043,6228,6021,6115,82428606
2017-8-12,5758,5985,5716,5978,76093004
2017-8-11,5609,5828,5584,5815,75557202
2017-8-10,5805,5831,5466,5614,107757756
2017-8-7,5997,6001,5757,5771,92501529
2017-8-6,6360,6365,5977,6087,138769345
2017-8-5,6345,6348,6126,6136,96564750
2017-8-4,6265,6344,6222,6303,60631312
2017-8-3,5946,6124,5915,6124,60363619
2017-7-30,5930,6058,5872,5894,88040346
2017-7-29,5979,6019,5774,5972,78773521
2017-7-28,5929,5968,5588,5909,108622706
2017-7-27,6009,6045,5778,5889,72324603
2017-7-24,5760,6031,5731,5853,91451960
2017-7-23,6308,6318,5868,5916,114987616
2017-7-22,5963,6246,5919,6241,100215307
2017-7-21,5768,5871,5717,5819,78835935
2017-7-20,5590,5800,5544,5695,108487569
2017-7-17,5994,6020,5632,5675,125465774
2017-7-16,6255,6317,5913,5949,83859330
2017-7-15,6321,6391,6221,6272,66276613
2017-7-14,6046,6266,6024,6262,59291210
2017-7-13,6078,6152,5987,6024,53011205
2017-7-10,6134,6195,5934,6001,67051528
2017-7-9,6051,6190,5798,6097,112649694
2017-7-8,6474,6495,6037,6038,97689774
2017-7-7,6489,6619,6378,6489,68785500
2017-7-6,6719,6736,6336,6410,85695872
2017-7-3,6753,6792,6618,6724,60041228
2017-7-2,6801,6823,6682,6697,44438500
2017-7-1,6917,6929,6746,6824,43980558
2017-6-30,6876,6960,6830,6919,40827226
2017-6-29,6818,6895,6662,6874,52196699
2017-6-26,6849,6943,6746,6772,48226824
2017-6-25,7129,7135,6815,6883,57091157
2017-6-24,6986,7135,6900,7088,46400431
2017-6-23,7250,7259,6996,7010,59615238
2017-6-22,7077,7215,7051,7203,59949746
2017-6-19,7108,7118,6947,6980,38985763
2017-6-18,7188,7189,7025,7084,46126260
2017-6-17,6969,7197,6962,7157,74649486
2017-6-16,6866,6890,6762,6880,42164222
2017-6-15,6696,6805,6651,6741,56900444
2017-6-12,6947,6988,6738,6846,66900863
2017-6-11,6934,7001,6887,6894,41695855
2017-6-10,7019,7122,6885,6926,55400399
2017-6-9,7095,7100,6945,6985,52189031
2017-6-8,6874,7144,6854,7078,76951946
2017-6-5,6969,6996,6845,6859,70991892
2017-6-4,6773,7011,6573,6963,131043748
2017-6-3,6705,6908,6700,6806,64258631
2017-6-2,6694,6754,6607,6730,43862297
2017-5-29,6750,6758,6672,6709,36786427
2017-5-28,6418,6733,6405,6733,62013396
2017-5-27,6492,6506,6405,6445,47409857
2017-5-26,6375,6500,6335,6485,45746832
2017-5-25,6430,6449,6347,6355,43736562
2017-5-22,6227,6457,6222,6432,60835746
2017-5-21,6146,6278,6146,6216,42153754
2017-5-20,6274,6316,6127,6219,53032420
2017-5-19,6205,6314,6182,6275,46064897
2017-5-18,6303,6377,6070,6148,75105994
2017-5-15,6047,6337,6017,6257,87930298
2017-5-14,6212,6250,6046,6108,150438699
2017-5-13,5461,5495,5319,5353,98089932
2017-5-12,5402,5528,5400,5514,48364998
2017-5-11,5473,5494,5185,5355,74142331
2017-5-8,5615,5642,5440,5445,55545338
2017-5-7,5637,5668,5569,5663,47996403
2017-5-6,5885,5931,5710,5751,61495880
2017-5-5,5660,5858,5650,5851,48734147
2017-5-1,5730,5782,5607,5630,40883205
2017-4-30,5726,5802,5683,5719,34599775
2017-4-29,5798,5857,5727,5760,33730619
2017-4-28,5646,5778,5610,5774,37590987
2017-4-27,5791,5825,5538,5591,63106519
2017-4-24,5713,5830,5706,5794,42529258
2017-4-23,5865,5896,5665,5722,92349222
2017-4-22,5760,5841,5723,5823,56800776
2017-4-21,5770,5855,5722,5792,77329009
2017-4-20,5442,5726,5405,5720,68974359
2017-4-17,5502,5565,5453,5456,38287706
2017-4-16,5483,5522,5419,5471,43257622
2017-4-14,5412,5486,5391,5465,43152127
2017-4-13,5493,5518,5343,5371,68307317
2017-4-10,5748,5768,5525,5544,60465751
2017-4-9,5832,5838,5737,5773,55101367
2017-4-7,5827,5858,5691,5796,46617754
2017-4-6,5550,5832,5545,5777,98296983
2017-4-3,5491,5515,5423,5512,239823912
2017-4-2,5434,5519,5395,5505,89825393
2017-4-1,5557,5589,5375,5557,76003479
2017-3-31,5475,5518,5424,5486,78751463
2017-3-30,5327,5450,5291,5381,85118518
2017-3-27,5161,5350,5134,5332,82640992
2017-3-26,5103,5207,5066,5183,92723034
2017-3-25,5056,5077,4901,4938,65776366
2017-3-24,4862,5077,4854,5024,68478561
2017-3-23,4806,4897,4774,4884,36055891
2017-3-20,4898,4939,4771,4794,42937659
2017-3-19,4815,4870,4787,4834,43855036
2017-3-18,4646,4877,4626,4862,60890176
2017-3-17,4675,4720,4629,4673,32085905
2017-3-16,4690,4754,4626,4706,50773647
2017-3-13,4675,4721,4650,4701,22953916
2017-3-11,4597,4667,4553,4649,44993195
2017-3-10,4466,4617,4355,4589,82016490
2017-3-9,4636,4665,4404,4482,82565324
2017-3-6,4704,4727,4596,4623,40545375
2017-3-5,4699,4746,4668,4670,34886170
2017-3-4,4661,4755,4631,4643,53932698
2017-3-3,4626,4700,4572,4636,75602413
2017-3-2,4847,4884,4580,4583,85909884
2017-2-27,4911,4948,4871,4901,42452937
2017-2-26,4870,4957,4803,4899,75117049
2017-2-25,4623,4874,4606,4871,79245346
2017-2-24,4600,4737,4583,4660,68195832
2017-2-23,4704,4753,4573,4620,80909626
2017-2-20,4781,4865,4725,4753,70731178
2017-2-19,4924,4987,4730,4756,97127618
2017-2-18,5026,5045,4871,4912,67889337
2017-2-17,4779,5018,4751,5010,76835006
2017-2-16,4936,4975,4802,4822,80371218
2017-2-13,5085,5209,4972,4975,95032876
2017-2-12,4716,5200,4650,5020,248809006
2017-2-11,5000,5021,4875,4901,127072652
2017-2-10,5073,5079,4925,4940,102143469
2017-2-9,5154,5170,4961,5023,73472347
2017-2-6,5318,5324,5188,5195,45085348
2017-2-5,5238,5284,5159,5244,46775185
2017-2-4,5175,5225,5113,5190,57207154
2017-2-3,5433,5476,5220,5268,83203892
2017-2-2,5468,5481,5351,5385,58235283
2017-1-30,5418,5482,5360,5422,88260093
2017-1-29,5112,5222,5095,5221,71521899
2017-1-28,5004,5124,4990,5114,64678247
2017-1-27,4999,5100,4918,4950,81166571
2017-1-26,4831,4963,4791,4951,68780552
2017-1-23,4918,4987,4879,4911,58428451
2017-1-22,4786,4968,4783,4905,99773784
2017-1-21,4738,4784,4526,4677,147296862
2017-1-20,5060,5060,4708,4714,136081330
2017-1-19,5073,5129,5040,5052,57203957
2017-1-16,4977,5116,4957,5104,74446947
2017-1-15,5047,5072,4906,4918,82045323
2017-1-14,5013,5110,4995,5028,62834429
2017-1-13,4997,5103,4945,5042,98113699
2017-1-12,5014,5160,4980,5023,100095417
2017-1-9,5029,5128,4986,5124,81410460
2017-1-8,5001,5060,4950,5039,98220046
2017-1-7,4923,4954,4846,4946,87879619
2017-1-6,4850,4966,4816,4845,136716101
2017-1-5,4728,4755,4629,4719,75319202
2017-1-2,4632,4760,4574,4749,115508400
2017-1-1,4551,4605,4523,4598,63972369
2016-12-31,4484,4547,4440,4523,79316945
2016-12-30,4250,4544,4243,4507,91934557
2016-12-29,4485,4494,4243,4251,70807761
2016-12-26,4504,4508,4393,4431,52765299
2016-12-25,4553,4562,4465,4475,68072239
2016-12-24,4339,4509,4311,4504,71676653
2016-12-23,4424,4426,4323,4360,54540282
2016-12-22,4436,4479,4370,4404,75794696
2016-12-19,4309,4461,4240,4395,117535626
2016-12-18,4179,4276,4177,4266,50035380
2016-12-17,4201,4217,4144,4178,42581854
2016-12-16,4184,4216,4151,4187,48774896
2016-12-12,4202,4226,4106,4129,67735053
